classifier,subject,fold,accuracy
svm,1,1,0.603057
svm,1,2,0.627219
svm,1,3,0.592501
svm,1,4,0.623088
svm,1,5,0.597928
svm,2,1,0.718935
svm,2,2,0.723866
svm,2,3,0.692156
svm,2,4,0.72965
svm,2,5,0.73261
svm,3,1,0.583826
svm,3,2,0.577909
svm,3,3,0.598915
svm,3,4,0.613715
svm,3,5,0.615195
svm,4,1,0.695759
svm,4,2,0.691321
svm,4,3,0.688209
svm,4,4,0.687716
svm,4,5,0.680316
svm,5,1,0.690828
svm,5,2,0.648422
svm,5,3,0.688703
svm,5,4,0.685742
svm,5,5,0.670449
svm,6,1,0.640039
svm,6,2,0.642998
svm,6,3,0.639862
svm,6,4,0.642329
svm,6,5,0.619635
svm,7,1,0.578895
svm,7,2,0.593195
svm,7,3,0.597928
svm,7,4,0.596941
svm,7,5,0.595461
svm,8,1,0.676036
svm,8,2,0.687377
svm,8,3,0.708929
svm,8,4,0.686729
svm,8,5,0.691663
svm,9,1,0.664694
svm,9,2,0.654339
svm,9,3,0.654169
svm,9,4,0.664036
svm,9,5,0.665022
svm,10,1,0.605523
svm,10,2,0.591716
svm,10,3,0.610261
svm,10,4,0.613222
svm,10,5,0.592995
svm,11,1,0.633136
svm,11,2,0.654339
svm,11,3,0.659595
svm,11,4,0.651209
svm,11,5,0.653675
svm,12,1,0.574951
svm,12,2,0.580375
svm,12,3,0.582141
svm,12,4,0.569808
svm,12,5,0.584114
svm,13,1,0.580375
svm,13,2,0.589744
svm,13,3,0.599901
svm,13,4,0.616675
svm,13,5,0.593488
svm,14,1,0.621795
svm,14,2,0.635602
svm,14,3,0.627528
svm,14,4,0.634435
svm,14,5,0.657129
svm,15,1,0.617357
svm,15,2,0.629684
svm,15,3,0.647755
svm,15,4,0.630488
svm,15,5,0.639369
lda,1,1,0.498028
lda,1,2,0.525641
lda,1,3,0.5333
lda,1,4,0.515047
lda,1,5,0.4963
lda,2,1,0.54142
lda,2,2,0.549803
lda,2,3,0.546127
lda,2,4,0.558461
lda,2,5,0.546621
lda,3,1,0.503452
lda,3,2,0.498028
lda,3,3,0.526394
lda,3,4,0.50962
lda,3,5,0.534287
lda,4,1,0.559172
lda,4,2,0.569034
lda,4,3,0.555994
lda,4,4,0.556981
lda,4,5,0.539221
lda,5,1,0.555227
lda,5,2,0.538462
lda,5,3,0.535767
lda,5,4,0.545141
lda,5,5,0.540701
lda,6,1,0.521696
lda,6,2,0.516765
lda,6,3,0.521954
lda,6,4,0.546621
lda,6,5,0.511593
lda,7,1,0.506903
lda,7,2,0.52071
lda,7,3,0.5037
lda,7,4,0.538727
lda,7,5,0.5185
lda,8,1,0.558679
lda,8,2,0.538462
lda,8,3,0.560434
lda,8,4,0.540207
lda,8,5,0.531327
lda,9,1,0.553748
lda,9,2,0.54783
lda,9,3,0.542674
lda,9,4,0.552047
lda,9,5,0.558954
lda,10,1,0.514793
lda,10,2,0.509369
lda,10,3,0.524914
lda,10,4,0.540207
lda,10,5,0.520474
lda,11,1,0.514793
lda,11,2,0.527613
lda,11,3,0.547114
lda,11,4,0.541194
lda,11,5,0.544154
lda,12,1,0.518245
lda,12,2,0.494576
lda,12,3,0.507153
lda,12,4,0.5037
lda,12,5,0.513567
lda,13,1,0.511341
lda,13,2,0.524655
lda,13,3,0.52442
lda,13,4,0.53626
lda,13,5,0.49186
lda,14,1,0.547337
lda,14,2,0.552761
lda,14,3,0.552047
lda,14,4,0.564874
lda,14,5,0.555007
lda,15,1,0.531065
lda,15,2,0.515779
lda,15,3,0.551061
lda,15,4,0.551554
lda,15,5,0.51406
